x,sum,gauss
-140.0,7.332742957063077e-10,5.493049018754189e-37
-139.839998399984,7.682615383094774e-10,7.259476737042176e-37
-139.679996799968,8.048580778391813e-10,9.589309091249715e-37
-139.519995199952,8.4313498117277e-10,1.2660751163934268e-36
-139.359993599936,8.831663125323795e-10,1.6707896842467624e-36
-139.19999199992,9.250292533948126e-10,2.2038105279165966e-36
-139.03999039990399,9.688042269085544e-10,2.905473226822975e-36
-138.879988799888,1.0145750269747528e-09,3.828685191874598e-36
-138.719987199872,1.0624289521541958e-09,5.0428098853472875e-36
-138.559985599856,1.1124569445672094e-09,6.638740434381668e-36
-138.39998399984,1.1647537339586509e-09,8.735523533703793e-36
-138.239982399824,1.2194179871058297e-09,1.1489003022045494e-35
-138.079980799808,1.2765524627520546e-09,1.510309330878102e-35
-137.919979199792,1.3362641722550648e-09,1.9844475447572892e-35
-137.759977599776,1.398664546144466e-09,2.6061745407905924e-35
-137.59997599976,1.4638696067890074e-09,3.4210350873158214e-35
-137.439974399744,1.532000147380292e-09,4.488505020242763e-35
-137.279972799728,1.6031819174457774e-09,5.886214148506746e-35
-137.11997119971198,1.6775458151106269e-09,7.715437499561055e-35
-136.959969599696,1.7552280863342037e-09,1.0108232276712881e-34
-136.79996799968,1.8363705313542204e-09,1.3236709104009476e-34
-136.639966399664,1.921120718578149e-09,1.7325069786385e-34
-136.479964799648,2.009632206168642e-09,2.2665229285841413e-34
-136.31996319963199,2.102064771577593e-09,2.9637078961072614e-34
-136.159961599616,2.1985846492898186e-09,3.873475682813814e-34
-135.9999599996,2.299364777046507e-09,5.060068857131993e-34
-135.839958399584,2.404585050824907e-09,6.606967581209996e-34
-135.679956799568,2.5144325888600398e-09,8.62259685111203e-34
-135.519955199552,2.6291020050018426e-09,1.1247710837540035e-33
-135.359953599536,2.748795691709559e-09,1.4664942366338908e-33
-135.19995199951998,2.873724112994322e-09,1.911114618705332e-33
-135.039950399504,3.004106107629136e-09,2.4893345385300156e-33
-134.879948799488,3.1401692029551533e-09,3.240932241668973e-33
-134.719947199472,3.2821499396218408e-09,4.217419425141011e-33
-134.559945599456,3.430294207608536e-09,5.4854693526070674e-33
-134.39994399943998,3.584857593884592e-09,7.131336805134347e-33
-134.239942399424,3.7461057420748494e-09,9.266553972347251e-33
-134.079940799408,3.91431472450801e-09,1.2035266938941806e-32
-133.919939199392,4.089771427035289e-09,1.5623680570796494e-32
-133.759937599376,4.272773947017289e-09,2.027221162570451e-32
-133.59993599935999,4.463632004889193e-09,2.629111880022147e-32
-133.439934399344,4.662667369722919e-09,3.4080594359398646e-32
-133.27993279932798,4.870214299219526e-09,4.415657794517201e-32
-133.119931199312,5.086619994573194e-09,5.71839056192325e-32
-132.959929599296,5.312245070663564e-09,7.401885714952175e-32
-132.79992799928,5.547464042041805e-09,9.576373866692953e-32
-132.639926399264,5.792665825190832e-09,1.2383686998600099e-31
-132.47992479924798,6.048254257551512e-09,1.6006227912838513e-31
-132.319923199232,6.314648633819131e-09,2.0678459551912626e-31
-132.159921599216,6.5922842600288296e-09,2.6701614721478732e-31
-131.9999199992,6.881613025960575e-09,3.4462519418929778e-31
-131.839918399184,7.18310399640909e-09,4.445766804318156e-31
-131.67991679916798,7.497244021877697e-09,5.732400033372762e-31
-131.519915199152,7.824538369268168e-09,7.387822579916666e-31
-131.35991359913598,8.165511373155923e-09,9.516704421722732e-31
-131.19991199912,8.520707108250122e-09,1.2253124905832673e-30
-131.039910399104,8.890690083659127e-09,1.5768751047122423e-30
-130.87990879908799,9.276045959590587e-09,2.0283266133002146e-30
-130.719907199072,9.677382287136472e-09,2.6077661129327668e-30
-130.55990559905598,1.0095329271806334e-08,3.351116624422121e-30
-130.39990399904,1.053054056148809e-08,4.3042808737052366e-30
-130.239902399024,1.0983694059534137e-08,5.525884719597613e-30
-130.079900799008,1.1455492763684662e-08,7.090766658258022e-30
-129.919899198992,1.1946665631558982e-08,9.094414065646007e-30
-129.75989759897598,1.2457968473462315e-08,1.1658600197548724e-29
-129.59989599896,1.2990184873272446e-08,1.493854334857549e-29
-129.43989439894398,1.3544127138189868e-08,1.9131994618439177e-29
-129.279892798928,1.4120637278151271e-08,2.4490768021187997e-29
-129.119891198912,1.4720588015726908e-08,3.133536194676266e-29
