x,sum,gauss
-140.0,5.099576640744182e-10,1.0845434114040949e-26
-139.839998399984,5.287380631242675e-10,1.3006506540951902e-26
-139.679996799968,5.481863378331473e-10,1.5593642776227757e-26
-139.519995199952,5.683253769212771e-10,1.8689930759768815e-26
-139.359993599936,5.891788235295863e-10,2.239448079045904e-26
-139.19999199992,6.10771099091197e-10,2.6825479732182274e-26
-139.03999039990399,6.331274279270192e-10,3.21238205301142e-26
-138.879988799888,6.562738625864051e-10,3.8457414084514295e-26
-138.719987199872,6.802373099545646e-10,4.602631019655975e-26
-138.559985599856,7.050455581488793e-10,5.506877753428688e-26
-138.39998399984,7.307273042269835e-10,6.586852000461335e-26
-138.239982399824,7.57312182730116e-10,7.876323931003649e-26
-138.079980799808,7.848307950857382e-10,9.415479169857659e-26
-137.919979199792,8.133147398943627e-10,1.125212320205468e-25
-137.759977599776,8.427966441258689e-10,1.3443109140491357e-25
-137.59997599976,8.733101952516157e-10,1.6056029759429492e-25
-137.439974399744,9.048901743391807e-10,1.91712220913374e-25
-137.279972799728,9.375724901372948e-10,2.288414159659993e-25
-137.11997119971198,9.71394214179475e-10,2.730817317805808e-25
-136.959969599696,1.0063936169353335e-09,3.257795839710252e-25
-136.79996799968,1.0426102050397158e-09,3.8853332474346214e-25
-136.639966399664,1.0800847596302885e-09,4.632398139972812e-25
-136.479964799648,1.1188593758252103e-09,5.521494917292382e-25
-136.31996319963199,1.1589775033734701e-09,6.5793148358972375e-25
-136.159961599616,1.2004839885110651e-09,7.837505437794926e-25
-135.9999599996,1.2434251170574606e-09,9.333579595640579e-25
-135.839958399584,1.287848658787418e-09,1.1111989177695671e-24
-135.679956799568,1.3338039131142934e-09,1.322539275367619e-24
-135.519955199552,1.3813417561221172e-09,1.5736151949515349e-24
-135.359953599536,1.4305146889843362e-09,1.871809714761435e-24
-135.19995199951998,1.4813768878086014e-09,2.225861037378622e-24
-135.039950399504,1.53398425494759e-09,2.6461081593231887e-24
-134.879948799488,1.5883944718174035e-09,3.1447804466466773e-24
-134.719947199472,1.6446670532656596e-09,3.736338913831827e-24
-134.559945599456,1.7028634035330252e-09,4.437878313656715e-24
-134.39994399943998,1.7630468738528732e-09,5.269600727703362e-24
-134.239942399424,1.825282821734775e-09,6.255373200042355e-24
-134.079940799408,1.8896386719792453e-09,7.423384125992453e-24
-133.919939199392,1.9561839794718246e-09,8.80691564695687e-24
-133.759937599376,2.0249904938063286e-09,1.0445252273276691e-23
-133.59993599935999,2.096132225788279e-09,1.2384749432119011e-23
-133.439934399344,2.1696855158706628e-09,1.4680089700868166e-23
-133.27993279932798,2.245729104576019e-09,1.7395759236449388e-23
-133.119931199312,2.32434420495963e-09,2.0607782461606528e-23
-132.959929599296,2.405614577170814e-09,2.44057595533442e-23
-132.79992799928,2.489626605170122e-09,2.8895258851005834e-23
-132.639926399264,2.5764693756620076e-09,3.4200625141637715e-23
-132.47992479924798,2.6662347593045706e-09,4.046827509730519e-23
-132.319923199232,2.7590174942584975e-09,4.7870563175687585e-23
-132.159921599216,2.854915272140259e-09,5.661031533381168e-23
-131.9999199992,2.954028826445226e-09,6.69261442726966e-23
-131.839918399184,3.0564620235086316e-09,7.909867900842664e-23
-131.67991679916798,3.16232195607419e-09,9.345786379423881e-23
-131.519915199152,3.2717190395413335e-09,1.1039150731053913e-22
-131.35991359913598,3.384767110964794e-09,1.3035529318980462e-22
-131.19991199912,3.5015835308811323e-09,1.5388449803913106e-22
-131.039910399104,3.622289288039847e-09,1.8160770396372112e-22
-130.87990879908799,3.747009107117595e-09,2.142628401039693e-22
-130.719907199072,3.87587155949684e-09,2.5271594294869453e-22
-130.55990559905598,4.009009177192263e-09,2.9798308941772036e-22
-130.39990399904,4.146558570009724e-09,3.5125603135336566e-22
-130.239902399024,4.288660546025837e-09,4.1393214678481857e-22
