x,sum,gauss
-140.0,2.1709798526580515e-22,8.3741806258137e-28
-139.839998399984,2.5470546782070827e-22,1.0183065751794474e-27
-139.679996799968,2.9873842409411527e-22,1.2378680197408253e-27
-139.519995199952,3.502791165029556e-22,1.504283560692503e-27
-139.359993599936,4.105894140376905e-22,1.8274463967137263e-27
-139.19999199992,4.811401429840286e-22,2.2193160587414937e-27
-139.03999039990399,5.636451576540073e-22,2.6943451924445693e-27
-138.879988799888,6.601008775527691e-22,3.2699934803982585e-27
-138.719987199872,7.728321533958503e-22,3.967346286401042e-27
-138.559985599856,9.045454580734998e-22,4.8118591089466045e-27
-138.39998399984,1.0583905526831766e-21,5.8342531252295385e-27
-138.239982399824,1.238031955154295e-21,7.071592125214265e-27
-138.079980799808,1.447731743247464e-21,8.568577136927773e-27
-137.919979199792,1.6924454588159407e-21,1.0379102219494901e-26
-137.759977599776,1.977933150729507e-21,1.2568123476013909e-26
-137.59997599976,2.3108879050142736e-21,1.5213903583871568e-26
-137.439974399744,2.699084568538659e-21,1.841070637636069e-26
-137.279972799728,3.151551783819028e-21,2.2272030618188155e-26
-137.11997119971198,3.678770925069612e-21,2.693448955255393e-26
-136.959969599696,4.292906068418808e-21,3.2562463598357274e-26
-136.79996799968,5.008069752512787e-21,3.935367838390722e-26
-136.639966399664,5.840630001196359e-21,4.7545889879596677e-26
-136.479964799648,6.809564900977857e-21,5.74248936405813e-26
-136.31996319963199,7.936871967787008e-21,6.933411716471245e-26
-136.159961599616,9.248040617515917e-21,8.368610438395211e-26
-135.9999599996,1.0772597292881257e-20,1.0097626084991176e-25
-135.839958399584,1.2544734217861921e-20,1.2179929903610694e-25
-135.679956799568,1.4604034376212868e-20,1.4686890748395063e-25
-135.519955199552,1.6996307171739317e-20,1.7704126778055475e-25
-135.359953599536,1.9774551358644363e-20,2.133431625523585e-25
-135.19995199951998,2.3000064268581388e-20,2.5700555931583134e-25
-135.039950399504,2.6743719150422045e-20,3.095037233173278e-25
-134.879948799488,3.10874356287971e-20,3.726051123567338e-25
-134.719947199472,3.6125871934310566e-20,4.484265438616486e-25
-134.559945599456,4.196837172612988e-20,5.395024060643806e-25
-134.39994399943998,4.874120308909283e-20,6.488660191903944e-25
-134.239942399424,5.659013272523426e-20,7.8014664873081015e-25
-134.079940799408,6.568338456781529e-20,9.376851425260771e-25
-133.919939199392,7.621503913098986e-20,1.1266717199655688e-24
-133.759937599376,8.840893799156051e-20,1.353310100967081e-24
-133.59993599935999,1.0252316701811773e-19,1.6250129432409607e-24
-133.439934399344,1.1885520247315087e-19,1.95063448072194e-24
-133.27993279932798,1.3774781609254595e-19,2.3407473499687624e-24
-133.119931199312,1.5959584889415978e-19,2.8079718854142946e-24
-132.959929599296,1.8485397901073745e-19,3.367367694696451e-24
-132.79992799928,2.1404562653880647e-19,4.036899134385194e-24
-132.639926399264,2.477731585363259e-19,4.837988444275917e-24
-132.47992479924798,2.8672958021734764e-19,5.796172823882022e-24
-132.319923199232,3.317119244544675e-19,6.941884717044212e-24
-132.159921599216,3.836365813325789e-19,8.311378091080379e-24
-131.9999199992,4.435568431760967e-19,9.947827651258794e-24
-131.839918399184,5.126829787372616e-19,1.190263283199268e-23
-131.67991679916798,5.924051936941093e-19,1.4236964185018145e-23
-131.519915199152,6.843198839509672e-19,1.702359659685666e-23
-131.35991359913598,7.902596442410617e-19,2.034908179503247e-23
-131.19991199912,9.123275580742007e-19,2.431632205805901e-23
-131.039910399104,1.0529363671456626e-18,2.904761817848976e-23
-130.87990879908799,1.2148532000375902e-18,3.4688277834558817e-23
-130.719907199072,1.4012506326632678e-18,4.1410885947979715e-23
-130.55990559905598,1.6157649578434938e-18,4.942035674600204e-23
-130.39990399904,1.8625626602592825e-18,5.895990857637266e-23
-130.239902399024,2.1464162276001823e-18,7.031812759655906e-23
-130.079900799008,2.4727905810394886e-18,8.383731591925761e-23
-129.919899198992,2.847941580504839e-18,9.992335440059566e-23
-129.75989759897598,3.2790282551297842e-18,1.1905735088895773e-22
