order,pub,va_sem,+-,va_std,+-,vi_sem,+-,vi_std,+-
29,Hu 2007,-50.81,0.18,-50.81,1.0340212764,-92.53,0.1,-92.53,0.4123105626
30,Hu 2010,nan,nan,nan,nan,-92.53,1.02,-92.53,4.2055677381
31,Hu 2014,nan,nan,nan,nan,-92.5,0.82,-92.5,3.8461409231
32,Baroudi 2001,-47.23,1.8,-47.23,4.0249223595,-92.47,1.13,-92.47,2.26
33,Lupoglazoff 2001,-47.23,1.8,-47.23,7.8460180984,-92.47,1.1,-92.47,3.6482872694
34,Marangoni 2011,-44.0,2.0,-44.0,8.0,-92.0,2.0,-92.0,7.2111025509
35,Moreau 2013,-47.9,1.2,-47.9,4.3266615306,-92.0,1.3,-92.0,4.6872166581
36,Tan 2001,-48.6,1.2,-48.6,3.1749015733,-92.0,1.7,-92.0,4.4977772288
37,Shinlapawittayatorn 2011a,nan,nan,nan,nan,-91.9,1.7,-91.9,4.4977772288
38,Shinlapawittayatorn 2011b,nan,nan,nan,nan,-91.2,0.8,-91.2,2.7712812921
39,Mok 2003,-47.2,2.8,-47.2,5.6,-91.1,0.4,-91.1,0.692820323
40,Makita 2002,-47.2,1.1,-47.2,3.966106403,-91.0,1.3,-91.0,4.6872166581
41,Itoh 2007,nan,nan,nan,nan,-90.9,1.1,-90.9,3.3
42,Neu 2010,-50.9,1.7,-50.9,5.8889727457,-90.9,1.4,-90.9,4.2
43,Shuraih 2007,-43.4,0.3,-43.4,0.7937253933,-90.7,0.1,-90.7,0.2645751311
44,Detta 2014,-40.3,0.46,-40.3,1.5256474036,nan,nan,nan,nan
45,Itoh 2005a,-39.9,1.5,-39.9,7.5,nan,nan,nan,nan
46,Samani 2009,-36.0,1.9,-36.0,5.026927491,-89.9,1.8,-89.9,5.4
47,Vatta 2002a,nan,nan,nan,nan,-89.5,0.2,-89.5,0.4898979486
48,Nguyen 2008,-47.8,0.5,-47.8,1.5811388301,-89.4,0.8,-89.4,2.5298221281
49,Smits 2005a,-42.6,1.4,-42.6,4.2,-89.4,1.2,-89.4,3.6
50,Watanabe 2011b,-47.7,1.1,-47.7,4.4,-89.4,0.7,-89.4,3.0512292605
51,Wang 2007a,-44.3,0.6,-44.3,2.2449944321,-89.3,1.1,-89.3,4.4
52,Wang 2008,-44.3,0.6,-44.3,2.2449944321,-89.3,1.1,-89.3,4.4
53,Kapplinger 2015,-40.7,0.6,-40.7,1.6970562748,-88.6,0.5,-88.6,1.3228756555
54,Yokoi 2005,-49.8,1.3,-49.8,3.6769552622,-88.6,1.0,-88.6,3.0
55,Otagiri 2008,-44.4,0.7,-44.4,4.2579337712,-88.3,0.8,-88.3,4.8662100242
56,Casini 2007,-38.6,1.0,-38.6,3.8729833462,-88.0,2.1,-88.0,7.5716576785
57,Tsurugi 2009,-39.6,1.2,-39.6,3.3941125497,-88.0,0.9,-88.0,2.5455844123
58,Kapplinger 2015,-40.0,0.8,-40.0,2.4,-87.2,0.8,-87.2,2.4
59,Makita 2008,-49.7,1.1,-49.7,6.2225396744,-86.8,1.1,-86.8,5.5
60,Kapplinger 2015,-39.4,1.2,-39.4,3.3941125497,-86.6,1.0,-86.6,2.8284271247
61,Makita 2005,-48.1,0.9,-48.1,3.9230090492,-86.6,0.9,-86.6,3.7107950631
62,Juang 2014a,-36.3,0.2,-36.3,0.4,-86.4,0.7,-86.4,1.4
63,Beckermann 2014,-37.3,0.6,-37.3,2.2449944321,-86.0,0.4,-86.0,1.3266499161
64,Ye 2003,-40.0,7.0,-40.0,18.5202591775,-86.0,5.8,-86.0,15.3453576042
65,Nakajima 2015,-38.7,0.8,-38.7,3.098386677,-85.9,0.6,-85.9,2.4738633754
66,Beyder 2010,-33.0,9.0,-33.0,22.045407685,nan,nan,nan,nan
67,Zhang 2015,-28.1,1.3,-28.1,5.0348783501,nan,nan,nan,nan
68,Olesen 2012,-27.9,1.3,-27.9,6.0975404878,-85.6,0.9,-85.6,4.5
69,Bezzina 2003,-39.9,4.3,-39.9,8.6,-85.2,3.8,-85.2,7.6
70,Viswanathan 2003,-40.7,1.4,-40.7,4.6432747065,-85.0,1.2,-85.0,3.9799497484
71,Tarradas 2013,-32.0,0.3,-32.0,1.2727922061,-84.9,0.9,-84.9,2.8460498942
72,Splawski 2002,-26.6,1.3,-26.6,3.6769552622,nan,nan,nan,nan
73,Winkel 2012,-26.0,2.5,-26.0,10.307764064,-84.6,1.8,-84.6,7.2
74,Watanabe 2011b,-35.4,0.6,-35.4,3.0,-84.5,1.0,-84.5,4.8989794856
75,Guetter 2013,-35.1,0.4,-35.1,3.7523326079,-84.3,0.6,-84.3,4.9477267507
76,Hsueh 2009,-42.56,0.81,-42.56,2.5614449047,-84.3,1.2,-84.3,3.7947331922
77,Valdivia 2004,-42.0,2.0,-42.0,7.7459666924,-84.3,1.0,-84.3,4.472135955
78,Abe 2014,-50.5,1.5,-50.5,5.8094750193,-84.1,1.3,-84.1,5.0348783501
79,Kapplinger 2015,-37.5,1.3,-37.5,3.1843366656,-84.1,0.6,-84.1,1.5874507866
80,Kato 2014,-54.4,2.1,-54.4,8.909545443,-83.8,2.1,-83.8,9.6234089594
81,Amin 2005,-36.7,2.2,-36.7,6.9570108524,-83.3,1.8,-83.3,5.6920997883
82,Kapplinger 2015,-35.4,1.5,-35.4,5.6124860802,-82.8,0.7,-82.8,2.6191601707
83,Groenewegen 2003a,-40.6,1.57,-40.6,6.0805838535,-82.75,1.71,-82.75,6.622801522
84,Kapplinger 2015,-36.2,1.4,-36.2,4.6432747065,-82.4,1.0,-82.4,3.3166247904
85,Holst 2009,-30.4,0.6,-30.4,2.2449944321,-82.0,1.3,-82.0,4.6872166581
86,Tan 2005,-42.0,1.4,-42.0,3.9597979746,-82.0,1.4,-82.0,4.8497422612
87,Tan 2005,-43.0,1.0,-43.0,2.0,-82.0,3.1,-82.0,6.2
88,Tan 2005,-42.0,1.2,-42.0,3.3941125497,-82.0,1.2,-82.0,3.6
89,Kapplinger 2015,-38.3,1.2,-38.3,5.0911688245,-81.9,1.0,-81.9,3.8729833462
90,Kapplinger 2015,-34.9,1.4,-34.9,5.0477717856,-81.8,0.7,-81.8,2.5238858928
91,Tan 2006,-46.9,1.2,-46.9,3.3941125497,-81.8,1.3,-81.8,3.6769552622
92,Clatot 2012,-44.3,1.6,-44.3,6.596969001,-81.7,0.6,-81.7,1.8973665961
93,Gui 2010a,-34.7,0.7,-34.7,3.3570820663,-81.4,0.7,-81.4,3.4292856399
94,Kapplinger 2015,-37.0,1.4,-37.0,5.0477717856,-81.2,0.7,-81.2,2.5238858928
95,Kapplinger 2015,-37.0,1.4,-37.0,5.0477717856,-81.2,0.7,-81.2,2.5238858928
96,Zeng 2013,-34.5,1.5,-34.5,4.2426406871,-81.1,1.3,-81.1,4.6872166581
97,Tan 2005,-42.0,1.3,-42.0,2.9068883707,-81.0,1.4,-81.0,4.2
98,Tan 2005,-40.0,0.8,-40.0,1.3856406461,-81.0,2.7,-81.0,4.6765371804
99,Kapplinger 2015,-36.7,1.1,-36.7,4.2602816808,-80.9,0.6,-80.9,2.1633307653
100,Akai 2000,-44.1,0.3,-44.1,0.9,-80.8,2.1,-80.8,6.3
101,Chen 2016,-45.7,0.7,-45.7,2.6191601707,-80.7,1.3,-80.7,4.5033320997
102,Kapplinger 2015,-35.1,2.0,-35.1,6.6332495807,-80.5,0.5,-80.5,1.6583123952
103,Gui 2010b,-33.8,0.7,-33.8,2.3216373532,-80.3,0.9,-80.3,3.1176914536
104,Aiba 2014,-43.3,1.8,-43.3,4.7623523599,-80.1,1.6,-80.1,4.8
105,Kapplinger 2015,-34.4,1.5,-34.4,5.8094750193,-80.1,0.4,-80.1,1.4966629547
106,Kapplinger 2015,-34.4,1.5,-34.4,5.8094750193,-80.1,0.4,-80.1,1.4966629547
107,Hayashi 2015,-43.8,1.7,-43.8,6.8,-80.0,0.6,-80.0,2.4
108,Hu 2015,-41.0,1.3,-41.0,3.9,-80.0,1.6,-80.0,6.9742383097
109,Hu 2015,-41.0,2.4,-41.0,8.6533230611,-80.0,2.5,-80.0,9.3541434669
110,Tan 2005,-40.0,2.0,-40.0,5.6568542495,-80.0,1.6,-80.0,4.8
111,Tan 2005,-41.0,0.9,-41.0,1.8,-80.0,0.6,-80.0,1.2
112,Tan 2006,-44.1,1.6,-44.1,5.0596442563,-80.0,1.5,-80.0,4.7434164903
113,Kapplinger 2015,-38.3,0.3,-38.3,0.9,-79.9,1.2,-79.9,3.3941125497
114,Cheng 2010,-32.2,0.8,-32.2,3.2,-79.7,0.9,-79.7,3.7107950631
