x,sum,gauss
-140.0,1.9420386791728339e-19,2.7557099576591814e-17
-139.839998399984,2.2190693958653274e-19,3.081672283339028e-17
-139.679996799968,2.535011341252654e-19,3.445570443834782e-17
-139.519995199952,2.895242488663295e-19,3.85174518840606e-17
-139.359993599936,3.3058716998989267e-19,4.3050252033303395e-17
-139.19999199992,3.7738363213063516e-19,4.8107809461902514e-17
-139.03999039990399,4.30701257321349e-19,5.374984304093147e-17
-138.879988799888,4.91434037742392e-19,6.004274692904195e-17
-138.719987199872,5.605964474610197e-19,6.706032278541561e-17
-138.559985599856,6.393393916103112e-19,7.488459071804147e-17
-138.39998399984,7.289682275840803e-19,8.36066872575632e-17
-138.239982399824,8.30963122153761e-19,9.332785950048406e-17
-138.079980799808,9.470020413291788e-19,1.0416056550495974e-16
-137.919979199792,1.0789867067173791e-18,1.1622969205604215e-16
-137.759977599776,1.2290718935589442e-18,1.2967390205432796e-16
-137.59997599976,1.3996984920739286e-18,1.4464712503252788e-16
-137.439974399744,1.5936308058266235e-18,1.6132020567974777e-16
-137.279972799728,1.813998619181163e-18,1.798827267649302e-16
-137.11997119971198,2.0643446313144936e-18,2.005450245128534e-16
-136.959969599696,2.3486779274991003e-18,2.2354041631184295e-16
-136.79996799968,2.671534240393566e-18,2.491276626389553e-16
-136.639966399664,3.0380438459016575e-18,2.7759368729182465e-16
-136.479964799648,3.4540080409308606e-18,3.092565824366756e-16
-136.31996319963199,3.9259852653672504e-18,3.444689276394232e-16
-136.159961599616,4.4613880591982845e-18,3.8362145496336776e-16
-135.9999599996,5.068592189546008e-18,4.2714709541904166e-16
-135.839958399584,5.7570594431572074e-18,4.755254455639224e-16
-135.679956799568,6.53747575960058e-18,5.292876969039897e-16
-135.519955199552,7.421906581203177e-18,5.890220749756797e-16
-135.359953599536,8.423971520024396e-18,6.553798396214871e-16
-135.19995199951998,9.559040692616113e-18,7.290819030545385e-16
-135.039950399504,1.0844455352889352e-17,8.109261278764451e-16
-134.879948799488,1.229977576545274e-17,9.017953733172652e-16
-134.719947199472,1.394705960992244e-17,1.0026663646532272e-15
-134.559945599456,1.5811174595041585e-17,1.1146194680835147e-15
-134.39994399943998,1.7920149394488397e-17,1.2388494613701188e-15
-134.239942399424,2.030556749898297e-17,1.3766773993280639e-15
-134.079940799408,2.3003009117341578e-17,1.529563682870035e-15
-133.919939199392,2.6052546858544223e-17,1.6991224508325017e-15
-133.759937599376,2.94993015945949e-17,1.887137425326567e-15
-133.59993599935999,3.339406564744176e-17,2.0955793539546036e-15
-133.439934399344,3.7794001270918016e-17,2.326625206011891e-15
-133.27993279932798,4.2763423319807663e-17,2.5826792948608435e-15
-133.119931199312,4.837467602298785e-17,2.8663965151365116e-15
-132.959929599296,5.470911491755441e-17,3.1807079014492814e-15
-132.79992799928,6.185820626836816e-17,3.528848734924416e-15
-132.639926399264,6.992475770655653e-17,3.9143894454171096e-15
-132.47992479924798,7.902429538648912e-17,4.3412695807242884e-15
-132.319923199232,8.928660470047929e-17,4.813835139755787e-15
-132.159921599216,1.0085745352296606e-16,5.336879594632844e-15
-131.9999199992,1.1390051910151976e-16,5.91568895724174e-15
-131.839918399184,1.2859954209396744e-16,6.556091279131728e-15
-131.67991679916798,1.4516073389417768e-16,7.264511010045892e-15
-131.519915199152,1.6381546632152365e-16,8.04802868007603e-15
-131.35991359913598,1.8482327600165763e-16,8.914446413745798e-15
-131.19991199912,2.084752193724036e-16,9.872359831543573e-15
-131.039910399104,2.350976182463596e-16,1.0931236945913704e-14
-130.87990879908799,2.6505624029148095e-16,1.21015047148229e-14
-130.719907199072,2.987609636987396e-16,1.339464397716691e-14
-130.55990559905598,3.366709807412272e-16,1.4823293560901366e-14
-130.39990399904,3.793006009469058e-16,1.6401364427335575e-14
-130.239902399024,4.2722572126872447e-16,1.8144164794056987e-14
-130.079900799008,4.810910380064326e-16,2.0068537264972015e-14
-129.919899198992,5.416180833889195e-16,2.2193009089606135e-14
-129.75989759897598,6.096141787436156e-16,2.4537956775714877e-14
-129.59989599896,6.859824061495178e-16,2.712578639013377e-14
-129.43989439894398,7.717327114905217e-16,2.998113100343005e-14
-129.279892798928,8.679942640017966e-16,3.313106686507124e-14
-129.119891198912,9.7602921085298e-16,3.660535003848766e-14
-128.95988959889598,1.09724798016531e-15,4.0436675380426747e-14
-128.79988799888,1.2332263022584246e-15,4.466095991752116e-14
-128.63988639886398,1.3857241370213592e-15,4.9317652856106556e-14
