pub,v,sem,n,inv-sqrt-n
Ellinor 2008,-61.8,0.2,17.0,0.24253562503633297
Ge 2008,-78.7,1.3,26.0,0.19611613513818404
Glaaser 2012,-69.1,3.3,9.0,0.3333333333333333
Gosselin-Badaroudine 2012,-100.14,0.77,7.0,0.3779644730092272
Groenewegen 2003a,-82.75,1.71,15.0,0.2581988897471611
Groenewegen 2003a,-75.0,2.25,8.0,0.35355339059327373
Groenewegen 2003b,-78.0,1.53,7.0,0.3779644730092272
Guetter 2013,-84.3,0.6,68.0,0.12126781251816648
Guetter 2013,-71.2,0.7,28.0,0.1889822365046136
Gui 2010a,-81.4,0.7,24.0,0.20412414523193154
Gui 2010a,-67.7,0.5,31.0,0.1796053020267749
Gui 2010b,-80.3,0.9,12.0,0.2886751345948129
Hayashi 2015,-80.0,0.6,16.0,0.25
Holst 2009,-82.0,1.3,13.0,0.2773500981126146
Hoshi 2014,-79.48,0.6,18.0,0.23570226039551587
Hsueh 2009,-84.3,1.2,10.0,0.31622776601683794
Hu 2007,-92.53,0.1,17.0,0.24253562503633297
Hu 2010,-92.53,1.02,17.0,0.24253562503633297
Hu 2014,-92.5,0.82,22.0,0.21320071635561041
Hu 2015,-80.0,1.6,19.0,0.22941573387056174
Hu 2015,-80.0,2.5,14.0,0.2672612419124244
Huang 2006,-107.8,1.8,8.0,0.35355339059327373
Huang 2009,-100.47,1.34,9.0,0.3333333333333333
Itoh 2007,-90.9,1.1,9.0,0.3333333333333333
Juang 2014a,-86.4,0.7,4.0,0.5
Kapplinger 2015,-79.4,0.9,10.0,0.31622776601683794
Kapplinger 2015,-87.2,0.8,9.0,0.3333333333333333
Kapplinger 2015,-88.6,0.5,7.0,0.3779644730092272
Kapplinger 2015,-79.0,0.3,6.0,0.4082482904638631
Kapplinger 2015,-79.7,0.7,13.0,0.2773500981126146
Kapplinger 2015,-77.9,0.5,15.0,0.2581988897471611
Kapplinger 2015,-81.2,0.7,13.0,0.2773500981126146
Kapplinger 2015,-79.6,0.8,10.0,0.31622776601683794
Kapplinger 2015,-79.9,1.2,8.0,0.35355339059327373
Kapplinger 2015,-82.8,0.7,14.0,0.2672612419124244
Kapplinger 2015,-82.4,1.0,11.0,0.30151134457776363
Kapplinger 2015,-78.3,0.8,13.0,0.2773500981126146
Kapplinger 2015,-81.8,0.7,13.0,0.2773500981126146
Kapplinger 2015,-80.1,0.4,14.0,0.2672612419124244
Kapplinger 2015,-81.2,0.7,13.0,0.2773500981126146
Kapplinger 2015,-80.5,0.5,11.0,0.30151134457776363
Kapplinger 2015,-78.3,0.8,13.0,0.2773500981126146
Kapplinger 2015,-84.1,0.6,7.0,0.3779644730092272
Kapplinger 2015,-86.6,1.0,8.0,0.35355339059327373
Kapplinger 2015,-81.9,1.0,15.0,0.2581988897471611
Kapplinger 2015,-80.9,0.6,13.0,0.2773500981126146
Kapplinger 2015,-79.7,0.7,13.0,0.2773500981126146
Kapplinger 2015,-80.1,0.4,14.0,0.2672612419124244
Kapplinger 2015,-79.7,1.4,8.0,0.35355339059327373
Kapplinger 2015,-79.7,0.7,13.0,0.2773500981126146
Kapplinger 2015,-77.5,1.0,9.0,0.3333333333333333
Kapplinger 2015,-79.5,0.7,15.0,0.2581988897471611
Kato 2014,-83.8,2.1,21.0,0.2182178902359924
Keller 2005,-77.1,1.6,5.0,0.4472135954999579
Keller 2006,-103.82,0.64,8.0,0.35355339059327373
Li 2009,-104.33,1.58,6.0,0.4082482904638631
Lin 2008,-99.04,0.87,8.0,0.35355339059327373
Liu 2002,-73.33,3.1,4.0,0.5
Liu 2003a,-76.4,1.2,16.0,0.25
Liu 2005,-97.0,1.4,9.0,0.3333333333333333
Lupoglazoff 2001,-92.47,1.1,11.0,0.30151134457776363
Makita 1998,-68.7,1.3,11.0,0.30151134457776363
Makita 2002,-91.0,1.3,13.0,0.2773500981126146
Makita 2005,-86.6,0.9,17.0,0.24253562503633297
Makita 2008,-86.8,1.1,25.0,0.2
Makiyama 2008,-78.08,0.94,22.0,0.21320071635561041
Marangoni 2011,-92.0,2.0,13.0,0.2773500981126146
Medeiros-Domingo 2007,-78.77,1.11,10.0,0.31622776601683794
Medeiros-Domingo 2009,-76.0,1.2,19.0,0.22941573387056174
Mohler 2004,-68.9,0.3,15.0,0.2581988897471611
Mok 2003,-91.1,0.4,3.0,0.5773502691896258
Moreau 2013,-92.0,1.3,13.0,0.2773500981126146
Murphy 2012,-102.0,2.0,10.0,0.31622776601683794
