x,sum,gauss
-140.0,9.68889347683474e-32,4.4015720487971386e-58
-139.839998399984,1.1972597633532663e-31,6.620682221256181e-58
-139.679996799968,1.4789557840401576e-31,9.952160297108728e-58
-139.519995199952,1.8263104225738938e-31,1.495036077985429e-57
-139.359993599936,2.254481195530504e-31,2.244427984650036e-57
-139.19999199992,2.7820905233255087e-31,3.3672810659474985e-57
-139.03999039990399,3.432009840512352e-31,5.048620808005432e-57
-138.879988799888,4.232319326888276e-31,7.56459756874436e-57
-138.719987199872,5.217482179251185e-31,1.1327096384629805e-56
-138.559985599856,6.4297808754074115e-31,1.6950052767872704e-56
-138.39998399984,7.921073263260311e-31,2.5347971164621434e-56
-138.239982399824,9.754938934839307e-31,3.788218717390159e-56
-138.079980799808,1.2009301698201303e-30,5.657786799476627e-56
-137.919979199792,1.4779632621030987e-30,8.444575090199014e-56
-137.759977599776,1.818286079285347e-30,1.2595885872238869e-55
-137.59997599976,2.2362146490728206e-30,1.8775837737411746e-55
-137.439974399744,2.7492704867777732e-30,2.796981675815922e-55
-137.279972799728,3.378890886268112e-30,4.1638934729579544e-55
-137.11997119971198,4.1512949260140855e-30,6.194828541001447e-55
-136.959969599696,5.09853895405985e-30,9.210403618446748e-55
-136.79996799968,6.259802554532861e-30,1.3685092123559645e-54
-136.639966399664,7.682954771092567e-30,2.032059777902835e-54
-136.479964799648,9.426460990740233e-30,3.0153999636116465e-54
-136.31996319963199,1.1561703762297529e-29,4.471704144942732e-54
-136.159961599616,1.4175806405248275e-29,6.627059814938858e-54
-135.9999599996,1.737506712049487e-29,9.81495719928364e-54
-135.839958399584,2.1289134124670403e-29,1.4526989445401544e-53
-135.679956799568,2.60760799132225e-29,2.1487333438162483e-53
-135.519955199552,3.192856610127865e-29,3.176209327227052e-53
-135.359953599536,3.9081330583506956e-29,4.691971890665431e-53
-135.19995199951998,4.7820277425097823e-29,6.926620243222723e-53
-135.039950399504,5.849350866629684e-29,1.0218968143350124e-52
-134.879948799488,7.152470816267633e-29,1.5066500977164013e-52
-134.719947199472,8.742937318086758e-29,2.2199206660138387e-52
-134.559945599456,1.0683449271597326e-28,3.2687536838157932e-52
-134.39994399943998,1.3050239598575095e-28,4.810017189484214e-52
-134.239942399424,1.5935964460335495e-28,7.073441278122213e-52
-134.079940799408,1.9453202271646372e-28,1.039524113254976e-51
-133.919939199392,2.3738689714314923e-28,1.5267153586019473e-51
-133.759937599376,2.895844816932975e-28,2.2407905928691763e-51
-133.59993599935999,3.5313985538325964e-28,3.2867310067927606e-51
-133.439934399344,4.304979638525407e-28,4.817777539211775e-51
-133.27993279932798,5.246242898240103e-28,7.057469574862947e-51
-133.119931199312,6.391144273018665e-28,1.0331680747091441e-50
-132.959929599296,7.78326453804531e-28,1.511515595321428e-50
-132.79992799928,9.475407873368807e-28,2.2099069023204875e-50
-132.639926399264,1.1531531664114778e-27,3.2289031271140465e-50
-132.47992479924798,1.402907533795249e-27,4.714718245616988e-50
-132.319923199232,1.7061769755219865e-27,6.879805557238639e-50
-132.159921599216,2.074302511180792e-27,1.0032664173223789e-49
-131.9999199992,2.5210015034409055e-27,1.4620966353895857e-49
-131.839918399184,3.062859818561181e-27,2.129391771539307e-49
-131.67991679916798,3.7199247020761944e-27,3.099236774899943e-49
-131.519915199152,4.516418726615563e-27,4.507893353779953e-49
-131.35991359913598,5.481599231271e-27,6.5525780226833e-49
-131.19991199912,6.65079253445269e-27,9.518542644542179e-49
-131.039910399104,8.066638020238045e-27,1.3818102515205886e-48
-130.87990879908799,9.780584156991969e-27,2.0046845904386254e-48
-130.719907199072,1.1854686827151339e-26,2.906453539973515e-48
-130.55990559905598,1.4363770291176375e-26,4.2111470745382756e-48
-130.39990399904,1.739802298935775e-26,6.097574638866852e-48
-130.239902399024,2.106611457444383e-26,8.823350511041446e-48
-130.079900799008,2.5498937508144898e-26,1.27593817214692e-47
-129.919899198992,3.085409677146516e-26,1.843934202608057e-47
-129.75989759897598,3.7321295357406715e-26,2.6630596904382385e-47
-129.59989599896,4.512879197723261e-26,3.8435813124540845e-47
-129.43989439894398,5.455114169996583e-26,5.543843179303532e-47
-129.279892798928,6.591847110536245e-26,7.991080241585787e-47
-129.119891198912,7.962758820537956e-26,1.151117715816407e-46
-128.95988959889598,9.615528535072637e-26,1.657118917928142e-46
-128.79988799888,1.1607426233433377e-25,2.3840057807134583e-46
-128.63988639886398,1.4007217900221729e-25,3.427524945664049e-46
-128.479884798848,1.6897444433688537e-25,4.924630332663161e-46
-128.31988319883197,2.0377146509415954e-25,7.071089570048616e-46
-128.15988159881599,2.456512150892386e-25,1.0146557775162997e-45
-127.99987999879998,2.9603815021291856e-25,1.4550262150261528e-45
-127.83987839878398,3.566396890271539e-25,2.0851754099900375e-45
-127.67987679876799,4.295017100357451e-25,2.9863043218499246e-45
-127.51987519875199,5.170747911796082e-25,4.274105345149361e-45
-127.35987359873599,6.222932427205306e-25,6.113305127039517e-45
-127.19987199871998,7.486693708464452e-25,8.738293242406746e-45
-127.03987039870398,9.004058671462893e-25,1.2482364148397266e-44
-126.879868798688,1.0825297616557936e-24,1.781914134419495e-44
-126.71986719867199,1.3010520199133103e-24,2.542121997416094e-44
-126.55986559865599,1.5631576256039573e-24,3.624312992645923e-44
-126.39986399863999,1.877431891389552e-24,5.16386279571191e-44
-126.23986239862398,2.2541298067301658e-24,7.352641385384215e-44
-126.07986079860798,2.7054964927211174e-24,1.0462410734253744e-43
-125.91985919859198,3.246148325307312e-24,1.4877838432101748e-43
-125.75985759857599,3.893526051032159e-24,2.1143048302048e-43
-125.59985599855999,4.668433302364965e-24,3.0027215242343974e-43
-125.43985439854399,5.595676379838751e-24,4.26169341594852e-43
-125.27985279852798,6.704824072991571e-24,6.044620523167447e-43
-125.11985119851198,8.031109720488975e-24,8.567923308426146e-43
-124.95984959849598,9.616501754716611e-24,1.2136732805140933e-42
-124.79984799847999,1.1510973746650389e-23,1.7180970914478385e-42
-124.63984639846399,1.377401059101714e-23,2.4305989484104932e-42
-124.47984479844798,1.6476394099950416e-23,3.436359564266555e-42
-124.31984319843198,1.9702319081838365e-23,4.855160438559317e-42
-124.15984159841598,2.355190017760669e-23,6.855328376441904e-42
-123.99983999839998,2.8144140551630943e-23,9.67325487814696e-42
-123.83983839838399,3.362044627280873e-23,1.3640701039127179e-41
-123.67983679836799,4.0148785205642344e-23,1.9222967939679572e-41
-123.51983519835198,4.792860685093738e-23,2.7072220826460043e-41
-123.35983359833598,5.719666028668654e-23,3.8101933742354714e-41
-123.19983199831998,6.82338716950918e-23,5.35907509069963e-41
-123.03983039830399,8.137347154513817e-23,7.532729263511848e-41
-122.87982879828797,9.701059506059139e-23,1.0581191298432575e-40
-122.71982719827199,1.1561361899269405e-22,1.4853762135814729e-40
-122.55982559825598,1.3773754393033688e-22,2.083809699091582e-40
-122.39982399823998,1.640397855797474e-22,2.9214559112638067e-40
-122.23982239822398,1.9529880198753727e-22,4.093174966898623e-40
-122.07982079820798,2.3243605814694355e-22,5.731139419351924e-40
-121.91981919819199,2.7654191666360423e-22,8.019389894467533e-40
-121.75981759817599,3.289061453151979e-22,1.1214021274663427e-39
-121.59981599815998,3.9105385192662396e-22,1.5671158882654532e-39
-121.43981439814398,4.647877969201291e-22,2.188570510604552e-39
-121.27981279812798,5.522381975893669e-22,3.054496724965301e-39
-121.11981119811198,6.559213295474345e-22,4.260283261571419e-39
-120.95980959809597,7.788084545186459e-22,5.938229513773416e-39
-120.79980799807998,9.244068650412474e-22,8.271707596769022e-39
-120.63980639806398,1.096855141953373e-21,1.1514711460932552e-38
-120.47980479804798,1.3010350769893111e-21,1.60188242673096e-38
-120.31980319803198,1.5427031288297062e-21,2.2270394263367356e-38
-120.15980159801597,1.828644766297063e-21,3.0941749479587426e-38
-119.99979999799999,2.166855618408599e-21,4.296170580046428e-38
-119.83979839798398,2.5667540108514097e-21,5.961257190589256e-38
-119.67979679796798,3.039430237395591e-21,8.266351972811438e-38
-119.51979519795198,3.597938810509142e-21,1.1455383114219731e-37
-119.35979359793598,4.2576409784973006e-21,1.586445053146335e-37
-119.19979199791997,5.036606010625774e-21,2.195634987323116e-37
-119.03979039790397,5.956081164431402e-21,3.0367912663828776e-37
-118.87978879788798,7.0410418926304e-21,4.197487699964229e-37
-118.71978719787198,8.320835757591721e-21,5.798072131537574e-37
-118.55978559785598,9.829935741888957e-21,8.003823204870294e-37
-118.39978399783998,1.1608821223315264e-20,1.1041575626757669e-36
-118.23978239782397,1.370500787893724e-20,1.52224412676501e-36
-118.07978079780798,1.6174251261139716e-20,2.0972840504990102e-36
-117.91977919779198,1.9081952825252363e-20,2.887685502162185e-36
-117.75977759777598,2.2504801871047427e-20,3.9733994022804153e-36
-117.59977599775998,2.6532692290515687e-20,5.463793071423078e-36
-117.43977439774397,3.1270959308759764e-20,7.5083750064555e-36
-117.27977279772797,3.684298869836155e-20,1.031139346185255e-35
-117.11977119771197,4.339325939561126e-20,1.4151694800629419e-35
-116.95976959769598,5.109089022844767e-20,1.9409718646591106e-35
-116.79976799767998,6.013377278715046e-20,2.660417020648697e-35
-116.63976639766398,7.075338556692283e-20,3.64418055584261e-35
-116.47976479764797,8.322039965984318e-20,4.988497360062489e-35
-116.31976319763197,9.785120378627422e-20,6.824318664854364e-35
-116.15976159761598,1.1501549669405753e-19,9.329718517235034e-35
-115.99975999759997,1.351451183330344e-19,1.2746691505473886e-34
-115.83975839758398,1.587443182094793e-19,1.740388081976875e-34
-115.67975679756798,1.8640169048830576e-19,2.374730976899561e-34
-115.51975519755197,2.188040413688659e-19,3.2381907320555836e-34
-115.35975359753597,2.567524957353812e-19,4.412758141258856e-34
-115.19975199751997,3.0118119790303936e-19,6.009488598944874e-34
-115.03975039750398,3.5317901639534106e-19,8.17870601364705e-34
-114.87974879748798,4.1401472618572784e-19,1.112375387216884e-33
-114.71974719747197,4.851662149632732e-19,1.5119514144261462e-33
-114.55974559745597,5.683543441672696e-19,2.053733047575558e-33
-114.39974399743997,6.655821924119504e-19,2.7878527988776207e-33
-114.23974239742398,7.791805203628713e-19,3.781946469960487e-33
-114.07974079740796,9.11860424268734e-19,5.127204118558174e-33
-113.91973919739198,1.0667742926437361e-18,6.946491820678379e-33
-113.75973759737597,1.2475863498333659e-18,9.40524560943342e-33
-113.59973599735997,1.4585542645716611e-18,1.2726074025184688e-32
-113.43973439734397,1.7046235248038916e-18,1.7208318687083015e-32
-113.27973279732797,1.991536536164157e-18,2.3254238738767492e-32
-113.11973119731198,2.3259586953180894e-18,3.14040387554356e-32
-112.95972959729598,2.7156240263253656e-18,4.238269548156012e-32
-112.79972799727997,3.169503354422595e-18,5.716251577605985e-32
-112.63972639726397,3.697998434220409e-18,7.704665456785602e-32
-112.47972479724797,4.31316595626581e-18,1.0378054071467136e-31
-112.31972319723197,5.0289759363838154e-18,1.3970043663972118e-31
-112.15972159721596,5.861609656572499e-18,1.8793137411714697e-31
-111.99971999719997,6.829803086317974e-18,2.5265070025854843e-31
-111.83971839718397,7.955242582474718e-18,3.3943874624295065e-31
-111.67971679716797,9.26302065961141e-18,4.557451066485244e-31
-111.51971519715197,1.0782160758351892e-17,6.115082284939943e-31
-111.35971359713596,1.2546221236462526e-17,8.19978164616101e-31
-111.19971199711998,1.459399028869628e-17,1.098808375826083e-30
-111.03971039710397,1.6970285192123526e-17,1.4715035906606159e-30
-110.87970879708797,1.9726871202726936e-17,1.969338550378199e-30
-110.71970719707197,2.2923517629161493e-17,2.633899076372313e-30
-110.55970559705597,2.6629211117851005e-17,3.520445041918795e-30
-110.39970399703996,3.0923549042082136e-17,4.702358100978581e-30
-110.23970239702396,3.5898339144048735e-17,6.277020118453308e-30
-110.07970079700797,4.165943528682409e-17,8.373577292595259e-30
-109.91969919699197,4.832884339396277e-17,1.1163187969462022e-29
-109.75969759697597,5.604713645686613e-17,1.4872539569322884e-29
-109.59969599695997,6.4976222952216e-17,1.9801665497327043e-29
-109.43969439694396,7.530251922182263e-17,2.6347414141822104e-29
-109.27969279692797,8.724058342475929e-17,3.5034342177265483e-29
-109.11969119691197,1.0103727668919225e-16,4.655535344227573e-29
-108.95968959689597,1.1697652619570471e-16,6.182512173300403e-29
-108.79968799687997,1.353847752585606e-16,8.205027170276395e-29
-108.63968639686397,1.5663721719765e-16,1.0882151259400174e-28
-108.47968479684796,1.8116492309400895e-16,1.4423451024316341e-28
-108.31968319683196,2.0946298860103857e-16,1.9104835452616272e-28
-108.15968159681597,2.4209984207289735e-16,2.528931757280644e-28
-107.99967999679997,2.797278756314041e-16,3.345419700898261e-28
-107.83967839678397,3.2309558271582226e-16,4.422662524378821e-28
-107.67967679676796,3.7306141047574656e-16,5.843010731412792e-28
-107.51967519675196,4.3060956344627646e-16,7.714526191436514e-28
-107.35967359673597,4.968680267029514e-16,1.0178915827241166e-27
-107.19967199671996,5.731291125997205e-16,1.3421883954427243e-27
-107.03967039670397,6.608728757707527e-16,1.768663150091073e-27
-106.87966879668797,7.617937869174231e-16,2.3291446803035783e-27
-106.71966719667196,8.778311076641455e-16,3.065261264390264e-27
-106.55966559665598,1.011203467195805e-15,4.031421604452537e-27
-106.39966399663996,1.1644482073141171e-15,5.2986914657286634e-27
-106.23966239662397,1.3404661369032604e-15,6.95983167782645e-27
-106.07966079660797,1.5425724206213034e-15,9.135840992416974e-27
-105.91965919659197,1.7745544210976226e-15,1.1984447554480198e-26
-105.75965759657596,2.0407374203308386e-15,1.5711121876062182e-26
-105.59965599655996,2.3460592658026733e-15,2.0583350398946866e-26
