pub,v,sem,n,inv-sqrt-n
Abe 2014,-50.5,1.5,15.0,0.2581988897471611
Abriel 2001,-21.5,0.3,6.0,0.4082482904638631
Abriel 2001,-23.3,1.2,3.0,0.5773502691896258
Abriel 2001,-24.6,0.9,3.0,0.5773502691896258
Abriel 2001,-25.5,0.9,3.0,0.5773502691896258
Abriel 2001,-26.0,1.1,3.0,0.5773502691896258
Aiba 2014,-43.3,1.8,7.0,0.3779644730092272
Akai 2000,-44.1,0.3,9.0,0.3333333333333333
Albert 2008,-28.5,0.5,9.0,0.3333333333333333
Amin 2005,-36.7,2.2,10.0,0.31622776601683794
Bankston 2007a,-24.9,0.72,7.0,0.3779644730092272
Bankston 2007b,-24.8,1.3,13.0,0.2773500981126146
Baroudi 2000b,-47.24,1.7,23.0,0.20851441405707477
Baroudi 2001,-47.23,1.8,5.0,0.4472135954999579
Bebarova 2008,-31.8,1.2,16.0,0.25
Beckermann 2014,-37.3,0.6,14.0,0.2672612419124244
Beyder 2010,-33.0,9.0,6.0,0.4082482904638631
Beyder 2014,-58.2,1.0,9.0,0.3333333333333333
Bezzina 2003,-35.2,5.2,8.0,0.35355339059327373
Bezzina 2003,-39.9,4.3,4.0,0.5
Calloe 2011,-34.4,0.2,8.0,0.35355339059327373
Calloe 2011,-31.4,0.4,10.0,0.31622776601683794
Calloe 2013,-32.7,0.2,7.0,0.3779644730092272
Casini 2007,-38.6,1.0,15.0,0.2581988897471611
Chang 2004,-58.4,1.6,9.0,0.3333333333333333
Chen 2016,-45.7,0.7,14.0,0.2672612419124244
Cheng 2010,-32.2,0.8,16.0,0.25
Cheng 2010,-31.1,1.4,6.0,0.4082482904638631
Cheng 2010,-34.9,1.2,9.0,0.3333333333333333
Cheng 2010,-34.9,0.9,5.0,0.4472135954999579
Cheng 2011,-37.6,1.2,8.0,0.35355339059327373
Cheng 2011,-39.6,2.5,5.0,0.4472135954999579
Clatot 2012,-44.3,1.6,17.0,0.24253562503633297
Cordeiro 2006,-49.3,0.27,15.0,0.2581988897471611
Crotti 2012a,-50.81,1.8,33.0,0.17407765595569785
Deschenes 2000,-53.6,2.0,5.0,0.4472135954999579
Detta 2014,-40.3,0.46,11.0,0.30151134457776363
Ellinor 2008,-21.2,0.6,15.0,0.2581988897471611
Ge 2008,-35.5,1.4,13.0,0.2773500981126146
Gosselin-Badaroudine 2012,-55.33,0.86,7.0,0.3779644730092272
Groenewegen 2003a,-40.6,1.57,15.0,0.2581988897471611
Groenewegen 2003a,-38.63,3.1,8.0,0.35355339059327373
