x,sum,gauss
-140.0,2.1876834947121916e-12,1.9826481397822515e-12
-139.839998399984,2.4414734901702776e-12,2.259589188927332e-12
-139.679996799968,2.723920306659519e-12,2.574290409090686e-12
-139.519995199952,3.0381672779654064e-12,2.9317693373359163e-12
-139.359993599936,3.387691903621348e-12,3.337692072558552e-12
-139.19999199992,3.7763401853335224e-12,3.798454646491728e-12
-139.03999039990399,4.208364362287002e-12,4.3212742783387504e-12
-138.879988799888,4.688464368132502e-12,4.914291671591747e-12
-138.719987199872,5.221833361719338e-12,5.586685642150111e-12
-138.559985599856,5.814207715413717e-12,6.3488015114666085e-12
-138.39998399984,6.471921879339335e-12,7.21229485858277e-12
-138.239982399824,7.201968577308781e-12,8.1902924021367e-12
-138.079980799808,8.01206483081343e-12,9.29757197946529e-12
-137.919979199792,8.910724351468248e-12,1.0550763806690841e-11
-137.759977599776,9.907336890020359e-12,1.196857544322877e-11
-137.59997599976,1.1012255181731678e-11,1.3572043148774711e-11
-137.439974399744,1.2236890183940184e-11,1.5384812612993122e-11
-137.279972799728,1.3593815362216647e-11,1.7433452360541925e-11
-137.11997119971198,1.5096880847146336e-11,1.974780348972126e-11
-136.959969599696,1.6761338354720087e-11,2.236136979510959e-11
-136.79996799968,1.860397784007628e-11,2.531175275664351e-11
-136.639966399664,2.0643276937277583e-11,2.8641136353478216e-11
-136.479964799648,2.289956432744929e-11,3.239682718488422e-11
-136.31996319963199,2.5395198274426743e-11,3.663185595693996e-11
-136.159961599616,2.815476167157874e-11,4.140564702777828e-11
-135.9999599996,3.1205275056310896e-11,4.6784763401166934e-11
-135.839958399584,3.457642917045218e-11,5.284373532394549e-11
-135.679956799568,3.830083877599207e-11,5.966598148385197e-11
-135.519955199552,4.24143195771497e-11,6.734483272737153e-11
-135.359953599536,4.695619025219628e-11,7.598466922992207e-11
-135.19995199951998,5.196960176273908e-11,8.570218316126676e-11
-135.039950399504,5.7501896284963047e-11,9.662778010605054e-11
-134.879948799488,6.360499829770917e-11,1.0890713383274757e-10
-134.719947199472,7.033584056699819e-11,1.2270291046397286e-10
-134.559945599456,7.775682798684762e-11,1.381966796987048e-10
-134.39994399943998,8.593634247299092e-11,1.5559103248427408e-10
-134.239942399424,9.494929236042916e-11,1.7511192644608348e-10
-134.079940799408,1.0487771002911079e-10,1.970112824703906e-10
-133.919939199392,1.1581140177531373e-10,2.2156985811476554e-10
-133.759937599376,1.2784865426128468e-10,2.49100426008981e-10
-133.59993599935999,1.4109700221351685e-10,2.799512881235937e-10
-133.439934399344,1.5567406240226212e-10,3.14510159743066e-10
-133.27993279932798,1.7170843932338766e-10,3.5320846020623973e-10
-133.119931199312,1.8934070841964533e-10,3.9652605099026517e-10
-132.959929599296,2.0872448312436926e-10,4.449964655395846e-10
-132.79992799928,2.3002757248760653e-10,4.992126794035105e-10
-132.639926399264,2.534332366555855e-10,5.598334737726042e-10
-132.47992479924798,2.7914154802070104e-10,6.275904504242223e-10
-132.319923199232,3.073708664433313e-10,7.032957614322005e-10
-132.159921599216,3.383594375714493e-10,7.878506227996999e-10
-131.9999199992,3.7236712395086904e-10,8.822546874713191e-10
-131.839918399184,4.0967727933171e-10,9.876163600117256e-10
-131.67991679916798,4.505987773371905e-10,1.1051641426422862e-09
-131.519915199152,4.954682064723362e-10,1.2362591103485369e-09
-131.35991359913598,5.446522443161044e-10,1.3824086214584274e-09
-131.19991199912,5.985502246630022e-10,1.5452813794901271e-09
-131.039910399104,6.575969123641729e-10,1.7267239722366115e-09
-130.87990879908799,7.22265501665213e-10,1.928779025043532e-09
-130.719907199072,7.930708549537266e-10,2.15370511711134e-09
-130.55990559905598,8.705730000168887e-10,2.403998622473827e-09
-130.39990399904,9.553809051718595e-10,2.6824176511392804e-09
-130.239902399024,1.0481565529755266e-09,2.9920082808043468e-09
-130.079900799008,1.1496193346467648e-09,3.336133285632712e-09
-129.919899198992,1.2605507888513476e-09,3.7185035859185763e-09
-129.75989759897598,1.3817997101100223e-09,4.143212661109991e-09
-129.59989599896,1.5142876537990309e-09,4.61477418873642e-09
-129.43989439894398,1.6590148665267913e-09,5.138163193373821e-09
-129.279892798928,1.817066672592388e-09,5.7188610129717704e-09
-129.119891198912,1.98962034927135e-09,6.3629044147881205e-09
-128.95988959889598,2.1779525258326548e-09,7.07693921991445e-09
-128.79988799888,2.3834471434787976e-09,7.868278824067678e-09
-128.63988639886398,2.607604015821791e-09,8.744968033080678e-09
-128.479884798848,2.852048032068122e-09,9.71585266447281e-09
-128.31988319883197,3.1185390477959743e-09,1.0790655401772557e-08
-128.15988159881599,3.4089825110686406e-09,1.1980058426011592e-08
-127.99987999879998,3.7254408746548355e-09,1.3295793389194363e-08
-127.83987839878398,4.0701458483178236e-09,1.4750739337684619e-08
-127.67987679876799,4.445511548508046e-09,1.635902923954172e-08
-127.51987519875199,4.854148606348094e-09,1.813616581901447e-08
-127.35987359873599,5.298879298548386e-09,2.0099147453859444e-08
-127.19987199871998,5.78275376984293e-09,2.2266604947062588e-08
-127.03987039870398,6.309067419695933e-09,2.46589500440941e-08
-126.879868798688,6.8813795304105e-09,2.7298536630215918e-08
-126.71986719867199,7.503533218381898e-09,3.020983560978913e-08
-126.55986559865599,8.179676795084273e-09,3.34196245411887e-08
-126.39986399863999,8.914286629477542e-09,3.6957193177069025e-08
-126.23986239862398,9.712191608874448e-09,4.085456614051275e-08
-126.07986079860798,1.057859930092904e-08,4.5146744053299745e-08
-125.91985919859198,1.1519123925309729e-08,4.987196452336357e-08
-125.75985759857599,1.2539816249806872e-08,5.507198449469883e-08
-125.59985599855999,1.3647195532116506e-08,6.079238556478698e-08
-125.43985439854399,1.484828363533759e-08,6.70829039822599e-08
-125.27985279852798,1.6150641452345916e-08,7.39977871512824e-08
-125.11985119851198,1.756240778166301e-08,8.159617858922976e-08
-124.95984959849598,1.9092340805242395e-08,8.994253341095226e-08
-124.79984799847999,2.0749862326768767e-08,9.910706654647678e-08
-124.63984639846399,2.25451049376161e-08,1.0916623603969428e-07
-124.47984479844798,2.44889622865758e-08,1.202032639235986e-07
-124.31984319843198,2.659314263888374e-08,1.323086973233532e-07
-124.15984159841598,2.88702259199976e-08,1.4558101260197179e-07
-123.99983999839998,3.133372445012588e-08,1.601272655350791e-07
-123.83983839838399,3.399814758684127e-08,1.7606379068122502e-07
-123.67983679836799,3.6879070505553466e-08,1.9351695330286308e-07
-123.51983519835198,3.999320736166891e-08,2.1262395739048792e-07
-123.35983359833598,4.335848909487464e-08,2.335337135489488e-07
-123.19983199831998,4.699414615669242e-08,2.564077707205976e-07
-123.03983039830399,5.092079646996132e-08,2.81421315945073e-07
-122.87982879828797,5.516053896779089e-08,3.087642465902242e-07
-122.71982719827199,5.973705311739852e-08,3.386423197330796e-07
-122.55982559825598,6.467570492393282e-08,3.712783836241993e-07
-122.39982399823998,7.000366005179284e-08,4.069136964328395e-07
-122.23982239822398,7.575000493053628e-08,4.458093377449116e-07
-122.07982079820798,8.194587708454613e-08,4.882477185699785e-07
-121.91981919819199,8.862460652897468e-08,5.345341959081858e-07
-121.75981759817599,9.582187104944714e-08,5.849987982326291e-07
-121.59981599815998,1.0357586974936408e-07,6.399980685572475e-07
-121.43981439814398,1.1192752174695835e-07,6.999170320850537e-07
-121.27981279812798,1.209207008560078e-07,7.651712957657157e-07
-121.11981119811198,1.3060252327937985e-07,8.36209287435449e-07
-120.95980959809597,1.4102371496615434e-07,9.135146425653898e-07
-120.79980799807998,1.5223910008085582e-07,9.97608747006766e-07
-120.63980639806398,1.6430827456505502e-07,1.0890534444919614e-06
-120.47980479804798,1.77296562728573e-07,1.1884539180293677e-06
-120.31980319803198,1.9127640544873604e-07,1.296461754716682e-06
-120.15980159801597,2.063294032726691e-07,1.4137782038904772e-06
-119.99979999799999,2.2254934675279034e-07,1.5411576389300977e-06
-119.83979839798398,2.400467236862004e-07,1.6794112334391253e-06
-119.67979679796798,2.5895541737787536e-07,1.829410862937736e-06
-119.51979519795198,2.7944262646743933e-07,1.9920932436134934e-06
-119.35979359793598,3.0172347753996433e-07,2.1684643200941314e-06
-119.19979199791997,3.2608240781502803e-07,2.3596039146245282e-06
-119.03979039790397,3.529042179553001e-07,2.566670650447953e-06
-118.87978879788798,3.8271879686081963e-07,2.7909071626091244e-06
-118.71978719787198,4.1626497506117467e-07,3.0336456098112304e-06
-118.55978559785598,4.5458085548557933e-07,3.2963135013689356e-06
-118.39978399783998,4.991303926945714e-07,3.580439853704352e-06
-118.23978239782397,5.519790402467291e-07,3.88766169122873e-06
-118.07978079780798,6.160350524594155e-07,4.219730906839292e-06
-117.91977919779198,6.953775869032089e-07,4.578521497635129e-06
-117.75977759777598,7.95698150438274e-07,4.966037191815415e-06
-117.59977599775998,9.248881531820689e-07,5.384419483067278e-06
-117.43977439774397,1.0938122891548048e-06,5.835956089073127e-06
-117.27977279772797,1.3173149442954814e-06,6.323089851069739e-06
-117.11977119771197,1.615514488618128e-06,6.848428091667039e-06
-116.95976959769598,2.015447601076004e-06,7.414752448383006e-06
-116.79976799767998,2.5531319455978633e-06,8.025029200568557e-06
-116.63976639766398,3.276119561209857e-06,8.682420107576686e-06
-116.47976479764797,4.2466139861277925e-06,9.390293776177086e-06
-116.31976319763197,5.545219894062199e-06,1.015223757531697e-05
-116.15976159761598,7.275383160440622e-06,1.0972070116386627e-05
